Institution,UNITID
Harvard University,166027
Johns Hopkins University,162928
Stanford University,243744
Massachusetts Institute of Technology,166683
Yale University,130794
California State University-Los Angeles,110592
University of California-San Diego,110680
Clarks Summit University,211024
University of California-Berkeley,110635
Western Washington University,237011
Duke University,198419
Columbia University in the City of New York,190150
University of Michigan-Ann Arbor,170976
University of California-Davis,110644
University of North Carolina at Chapel Hill,199120
Washington University in St Louis,179867
State University of New York at New Paltz,196176
University of Illinois Chicago,145600
Boston University,164988
Emory University,139658
Northwestern State University of Louisiana,160038
Florida State University,134097
Vanderbilt University,221999
University of Wisconsin-Madison,240444
University of Minnesota-Twin Cities,174066
University of Pittsburgh-Pittsburgh Campus,215293
Pennsylvania State University-Penn State New Kensington,214625
Michigan State University,171100
Case Western Reserve University,201645
Princeton University,186131
John Brown University,107141
Tufts University,168148
University of Illinois Chicago,145600
Purdue University Fort Wayne,151102
Vanguard University of Southern California,123651
The University of Texas at Austin,228778
University of Illinois Urbana-Champaign,145637
Albizu University-Miami,132842
Oregon Health & Science University,209490
North Carolina State University at Raleigh,199193
University of California-Irvine,110653
